73,FF0B,0206,2B06,3806,8006
0C,0CD4,062D,063A,0681,0675
0C,0CD5,062E,063B,0681,0675
0C,0CD6,062C,063A,0681,0674
0C,0CD7,062B,0638,0680,0673
0C,0CD8,062A,0638,067F,0672
0C,0CD9,062D,063A,0681,0675
0C,0CDA,062E,063C,0681,0676
0C,0CDB,062D,0639,0680,0674
0C,0CDC,062B,0638,0680,0673
0C,0CDD,062B,0638,067F,0672
0C,0CDE,062D,063B,0681,0675
0C,0CDF,062D,063C,0681,0675
0C,0CE0,062D,0639,0680,0674
0C,0CE1,062B,0638,067F,0672
0C,0CE2,062A,0638,067F,0672
0C,0CE3,062D,063A,0681,0674
0C,0CE4,062E,063B,0681,0676
0C,0CE5,062C,0639,0681,0674
0C,0CE6,062B,0639,0680,0672
0C,0CE7,062C,0638,067F,0672
0C,0CE8,062D,063A,0680,0676
0C,0CE9,062E,063C,0682,0676
0C,0CEA,062D,0639,0681,0674
0C,0CEB,062B,0638,0680,0674
0C,0CEC,062B,0639,0680,0673
0C,0CED,062D,063A,0681,0675
0C,0CEE,062D,063B,0682,0676
0C,0CEF,062D,063A,0681,0674
0C,0CF0,062B,0638,067F,0673
0C,0CF1,062A,0637,067F,0673
0C,0CF2,062C,063B,0681,0674
0C,0CF3,062D,063C,0681,0675
0C,0CF4,062C,063A,0681,0674
0C,0CF5,062B,0639,0680,0672
0C,0CF6,062C,0638,067F,0672
0C,0CF7,062D,063B,0681,0675
0C,0CF8,062E,063C,0681,0675
0C,0CF9,062D,0639,0681,0674
0C,0CFA,062B,0638,067F,0673
0C,0CFB,062B,0638,067F,0672
0C,0CFC,062D,063A,0680,0674
0C,0CFD,062E,063C,0681,0675
0C,0CFE,062C,063B,0680,0674
0C,0CFF,062C,0638,0680,0672
0C,0D00,062B,0637,067F,0673
0C,0D01,062D,063A,0681,0674
0C,0D02,062E,063C,0681,0675
0C,0D03,062D,063A,0680,0674
0C,0D04,062B,0639,0680,0673
0C,0D05,062C,0638,067F,0671
0C,0D06,062D,063A,0680,0675
0C,0D07,062D,063B,0681,0676
0C,0D08,062D,063A,0681,0673
0C,0D09,062B,0638,0680,0672
0C,0D0A,062A,0638,067F,0672
0C,0D0B,062D,063B,0681,0675
0C,0D0C,062E,063B,0681,0675
